Year,Total
1,6291244.68
2,6983281.59
3,7751442.57
4,8604101.25
5,9550552.39
6,10601113.15
7,11767235.60
8,13061631.52
9,14498410.98
10,16093236.19
11,17863492.17
12,19828476.31
13,22009608.71
14,24430665.66
15,27118038.89
16,30101023.16
17,33412135.71
18,37087470.64
19,41167092.41
20,45695472.58
